2017-18 Rank,Rank in the most recent five years,School Name,City,School Name+city,2017-18 Rating,Rating in the most recent five years,Rating in the most recent five years adj,latitude,Longitude
733/852,n/a,St. Matthew Lutheran,Stony Plain,"St. Matthew Lutheran school, Stony Plain, AB, Canada",4.2,n/a,,,
733/852,n/a,Voyageur,Cold Lake,"Voyageur school, Cold Lake, AB, Canada",4.2,n/a,,,
744/852,520/664,I.V. Macklin,Grande Prairie,"I.V. Macklin school, Grande Prairie, AB, Canada",4.1,5,,,
744/852,520/664,Kameyosek,Edmonton,"Kameyosek school, Edmonton, AB, Canada",4.1,5,,,
744/852,560/664,Catherine Nichols Gunn,Calgary,"Catherine Nichols Gunn school, Calgary, AB, Canada",4.1,4.7,4.7,,
744/852,592/664,Pineridge,Calgary,"Pineridge school, Calgary, AB, Canada",4.1,4.4,4.4,,
744/852,592/664,Tween Valley,Taber,"Tween Valley school, Taber, AB, Canada",4.1,4.4,,,
744/852,n/a,Destiny,Red Deer County,"Destiny school, Red Deer County, AB, Canada",4.1,n/a,,,
750/852,385/664,Rio Terrace,Edmonton,"Rio Terrace school, Edmonton, AB, Canada",4,5.9,,,
750/852,482/664,St. Mary,Lethbridge,"St. Mary school, Lethbridge, AB, Canada",4,5.3,,,
750/852,592/664,Our Lady of The Assumption,Lethbridge,"Our Lady of The Assumption school, Lethbridge, AB, Canada",4,4.4,,,
750/852,597/664,Ponoka,Ponoka,"Ponoka school, Ponoka, AB, Canada",4,4.3,,,
750/852,n/a,Cornerstone Christian,Kingman,"Cornerstone Christian school, Kingman, AB, Canada",4,n/a,,,
755/852,283/664,St. Michael,Calgary,"St. Michael school, Calgary, AB, Canada",3.9,6.4,6.4,,
755/852,515/664,Dr. Donald Massey,Edmonton,"Dr. Donald Massey school, Edmonton, AB, Canada",3.9,5.1,,,
755/852,547/664,Athlone,Edmonton,"Athlone school, Edmonton, AB, Canada",3.9,4.8,,,
755/852,547/664,Thorncliffe,Edmonton,"Thorncliffe school, Edmonton, AB, Canada",3.9,4.8,,,
755/852,560/664,Holy Cross,Grande Prairie,"Holy Cross school, Grande Prairie, AB, Canada",3.9,4.7,,,
755/852,560/664,Lorelei,Edmonton,"Lorelei school, Edmonton, AB, Canada",3.9,4.7,,,
755/852,620/664,Belmead,Edmonton,"Belmead school, Edmonton, AB, Canada",3.9,3.9,,,
755/852,639/664,Brightview,Edmonton,"Brightview school, Edmonton, AB, Canada",3.9,3.2,,,
755/852,n/a,La Prairie,Red Deer,"La Prairie school, Red Deer, AB, Canada",3.9,n/a,,,
764/852,421/664,St. Stephen,Calgary,"St. Stephen school, Calgary, AB, Canada",3.8,5.7,5.7,,
764/852,465/664,John Paul I,Edmonton,"John Paul I school, Edmonton, AB, Canada",3.8,5.4,,,
764/852,560/664,Kirkness,Edmonton,"Kirkness school, Edmonton, AB, Canada",3.8,4.7,,,
764/852,614/664,Normandeau,Red Deer,"Normandeau school, Red Deer, AB, Canada",3.8,4,,,
764/852,627/664,Falun,Falun,"Falun school, Falun, AB, Canada",3.8,3.8,,,
764/852,n/a,Buffalo Head Prairie,Buffalo Head Prairie,"Buffalo Head Prairie school, Buffalo Head Prairie, AB, Canada",3.8,n/a,,,
764/852,n/a,Dr Karl A Clark,Fort McMurray,"Dr Karl A Clark school, Fort McMurray, AB, Canada",3.8,n/a,,,
764/852,n/a,Drayton Christian,Drayton Valley,"Drayton Christian school, Drayton Valley, AB, Canada",3.8,n/a,,,
764/852,n/a,Grimshaw,Grimshaw,"Grimshaw school, Grimshaw, AB, Canada",3.8,n/a,,,
764/852,n/a,St. Catherine,Grande Prairie,"St. Catherine school, Grande Prairie, AB, Canada",3.8,n/a,,,
774/852,406/664,St. Pius X,Edmonton,"St. Pius X school, Edmonton, AB, Canada",3.7,5.8,,,
774/852,482/664,Trochu Valley,Trochu,"Trochu Valley school, Trochu, AB, Canada",3.7,5.3,,,
774/852,631/664,Bannerman,Edmonton,"Bannerman school, Edmonton, AB, Canada",3.7,3.7,,,
774/852,n/a,des Beaux-Lacs,Bonnyville,"des Beaux-Lacs school, Bonnyville, AB, Canada",3.7,n/a,,,
774/852,n/a,Father Leduc,Leduc,"Father Leduc school, Leduc, AB, Canada",3.7,n/a,,,
779/852,465/664,Kathyrn,Kathyrn,"Kathyrn school, Kathyrn, AB, Canada",3.6,5.4,,,
779/852,585/664,St. Anne,Edmonton,"St. Anne school, Edmonton, AB, Canada",3.6,4.5,,,
779/852,662/664,Ben Calf Robe - St. Clare,Edmonton,"Ben Calf Robe - St. Clare school, Edmonton, AB, Canada",3.6,1.4,,,
779/852,n/a,Chamberlain,Grassy Lake,"Chamberlain school, Grassy Lake, AB, Canada",3.6,n/a,,,
783/852,592/664,Ekota,Edmonton,"Ekota school, Edmonton, AB, Canada",3.5,4.4,,,
783/852,606/664,St. Michael's,Pincher Creek,"St. Michael's school, Pincher Creek, AB, Canada",3.5,4.1,,,
783/852,614/664,Stony Plain Central,Stony Plain,"Stony Plain Central school, Stony Plain, AB, Canada",3.5,4,,,
783/852,646/664,St. Justin,Edmonton,"St. Justin school, Edmonton, AB, Canada",3.5,3,,,
783/852,n/a,Terrace Road,Calgary,"Terrace Road school, Calgary, AB, Canada",3.5,n/a,3.5,,
788/852,421/664,Headway,Edmonton,"Headway school, Edmonton, AB, Canada",3.4,5.7,,,
788/852,585/664,Rosscarrock,Calgary,"Rosscarrock school, Calgary, AB, Canada",3.4,4.5,4.5,,
790/852,585/664,Dunluce,Edmonton,"Dunluce school, Edmonton, AB, Canada",3.3,4.5,,,
790/852,597/664,Falconridge,Calgary,"Falconridge school, Calgary, AB, Canada",3.3,4.3,4.3,,
792/852,573/664,Glenbrook,Calgary,"Glenbrook school, Calgary, AB, Canada",3.2,4.6,4.6,,
792/852,573/664,St. Mark,Calgary,"St. Mark school, Calgary, AB, Canada",3.2,4.6,4.6,,
792/852,585/664,Norwood,Edmonton,"Norwood school, Edmonton, AB, Canada",3.2,4.5,,,
792/852,636/664,O. S. Geiger,Calgary,"O. S. Geiger school, Calgary, AB, Canada",3.2,3.5,3.5,,
792/852,638/664,St. Paul,Lethbridge,"St. Paul school, Lethbridge, AB, Canada",3.2,3.3,,,
797/852,639/664,Our Lady of Peace,Edmonton,"Our Lady of Peace school, Edmonton, AB, Canada",3.1,3.2,,,
797/852,646/664,Southview,Medicine Hat,"Southview school, Medicine Hat, AB, Canada",3.1,3,,,
799/852,536/664,Satoo,Edmonton,"Satoo school, Edmonton, AB, Canada",3,4.9,,,
799/852,627/664,Mee-Yah-Noh,Edmonton,"Mee-Yah-Noh school, Edmonton, AB, Canada",3,3.8,,,
801/852,614/664,Swan Hills,Swan Hills,"Swan Hills school, Swan Hills, AB, Canada",2.9,4,,,
801/852,n/a,St. Mary's,Fort Vermilion,"St. Mary's school, Fort Vermilion, AB, Canada",2.9,n/a,,,
803/852,646/664,Two Hills Mennonite,Two Hills,"Two Hills Mennonite school, Two Hills, AB, Canada",2.8,3,,,
803/852,655/664,St. Mary of the Lake,Slave Lake,"St. Mary of the Lake school, Slave Lake, AB, Canada",2.8,2.5,,,
805/852,597/664,Morinville,Morinville,"Morinville school, Morinville, AB, Canada",2.7,4.3,,,
805/852,653/664,Children of St. Martha,Lethbridge,"Children of St. Martha school, Lethbridge, AB, Canada",2.7,2.6,,,
805/852,n/a,La Mosa?que,Calgary,"La Mosa?que school, Calgary, AB, Canada",2.7,n/a,2.7,,
808/852,603/664,Hillside,Grande Prairie,"Hillside school, Grande Prairie, AB, Canada",2.6,4.2,,,
808/852,637/664,Belmont,Edmonton,"Belmont school, Edmonton, AB, Canada",2.6,3.4,,,
808/852,659/664,St. Theresa,Wabasca,"St. Theresa school, Wabasca, AB, Canada",2.6,1.8,,,
811/852,536/664,Menisa,Edmonton,"Menisa school, Edmonton, AB, Canada",2.5,4.9,,,
811/852,631/664,Colonel J. Fred Scott,Calgary,"Colonel J. Fred Scott school, Calgary, AB, Canada",2.5,3.7,3.7,,
811/852,n/a,Beacon Heights,Edmonton,"Beacon Heights school, Edmonton, AB, Canada",2.5,n/a,,,
814/852,547/664,St. Elizabeth Seton,Edmonton,"St. Elizabeth Seton school, Edmonton, AB, Canada",2.4,4.8,,,
814/852,606/664,Lee Ridge,Edmonton,"Lee Ridge school, Edmonton, AB, Canada",2.4,4.1,,,
814/852,644/664,Sherwood,Edmonton,"Sherwood school, Edmonton, AB, Canada",2.4,3.1,,,
814/852,652/664,St. Francis of Assisi,Edmonton,"St. Francis of Assisi school, Edmonton, AB, Canada",2.4,2.8,,,
814/852,n/a,Acme,Acme,"Acme school, Acme, AB, Canada",2.4,n/a,,,
814/852,n/a,Beacon Hill,Fort McMurray,"Beacon Hill school, Fort McMurray, AB, Canada",2.4,n/a,,,
820/852,639/664,Forest Green,Stony Plain,"Forest Green school, Stony Plain, AB, Canada",2.3,3.2,,,
820/852,646/664,Sifton,Edmonton,"Sifton school, Edmonton, AB, Canada",2.3,3,,,
820/852,n/a,Calder,Edmonton,"Calder school, Edmonton, AB, Canada",2.3,n/a,,,
823/852,620/664,Coralwood Adventist,Edmonton,"Coralwood Adventist school, Edmonton, AB, Canada",2.2,3.9,,,
823/852,n/a,Menno-Simons,Cleardale,"Menno-Simons school, Cleardale, AB, Canada",2.2,n/a,,,
825/852,n/a,Vilna,Vilna,"Vilna school, Vilna, AB, Canada",2.1,n/a,,,
826/852,465/664,St. Rita,Calgary,"St. Rita school, Calgary, AB, Canada",2,5.4,5.4,,
826/852,547/664,John A. McDougall,Edmonton,"John A. McDougall school, Edmonton, AB, Canada",2,4.8,,,
826/852,634/664,Cecil Swanson,Calgary,"Cecil Swanson school, Calgary, AB, Canada",2,3.6,3.6,,
826/852,639/664,Beiseker,Beiseker,"Beiseker school, Beiseker, AB, Canada",2,3.2,,,
826/852,n/a,Alder Flats,Alder Flats,"Alder Flats school, Alder Flats, AB, Canada",2,n/a,,,
831/852,n/a,Swanavon,Grande Prairie,"Swanavon school, Grande Prairie, AB, Canada",1.9,n/a,,,
832/852,639/664,Hythe,Hythe,"Hythe school, Hythe, AB, Canada",1.8,3.2,,,
832/852,646/664,Parkdale,Wetaskiwin,"Parkdale school, Wetaskiwin, AB, Canada",1.8,3,,,
832/852,n/a,Al-Mustafa,Edmonton,"Al-Mustafa school, Edmonton, AB, Canada",1.8,n/a,,,
835/852,n/a,Lauderdale,Edmonton,"Lauderdale school, Edmonton, AB, Canada",1.6,n/a,,,
836/852,653/664,Ashmont,Ashmont,"Ashmont school, Ashmont, AB, Canada",1.5,2.6,,,
836/852,655/664,St. Stephens,Valleyview,"St. Stephens school, Valleyview, AB, Canada",1.5,2.5,,,
836/852,664/664,Abbott,Edmonton,"Abbott school, Edmonton, AB, Canada",1.5,1.2,,,
836/852,n/a,Ivor Dent,Edmonton,"Ivor Dent school, Edmonton, AB, Canada",1.5,n/a,,,
840/852,n/a,Penson,Grovedale,"Penson school, Grovedale, AB, Canada",1.4,n/a,,,
841/852,634/664,Vista Heights,Calgary,"Vista Heights school, Calgary, AB, Canada",1.3,3.6,3.6,,
842/852,658/664,John Barnett,Edmonton,"John Barnett school, Edmonton, AB, Canada",1.1,2.3,,,
843/852,662/664,Elizabeth Community,Cold Lake,"Elizabeth Community school, Cold Lake, AB, Canada",0.9,1.4,,,
843/852,n/a,Lloyd Garrison,Berwyn,"Lloyd Garrison school, Berwyn, AB, Canada",0.9,n/a,,,
845/852,n/a,John Davidson,Coaldale,"John Davidson school, Coaldale, AB, Canada",0.6,n/a,,,
846/852,659/664,Delton,Edmonton,"Delton school, Edmonton, AB, Canada",0.4,1.8,,,
847/852,n/a,Exshaw,Exshaw,"Exshaw school, Exshaw, AB, Canada",0,n/a,,,
847/852,n/a,Gift Lake,Gift Lake,"Gift Lake school, Gift Lake, AB, Canada",0,n/a,,,
847/852,n/a,Heinsburg,Heinsburg,"Heinsburg school, Heinsburg, AB, Canada",0,n/a,,,
847/852,n/a,Mamawi Atosketan,Ponoka,"Mamawi Atosketan school, Ponoka, AB, Canada",0,n/a,,,
847/852,n/a,Piitoayis Family,Calgary,"Piitoayis Family school, Calgary, AB, Canada",0,n/a,,,
847/852,n/a,Tevie Miller,Edmonton,"Tevie Miller school, Edmonton, AB, Canada",0,n/a,,,
